Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Orange Prairie Road Extension,"City of Peoria, Illinois","Peoria, IL","Landscape Architecture, Surveying, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/OrangePrairie_0.jpg?h=4e6308eb&itok=5bNqJ9MK,https://www.f-w.com/projects/roadway-serves-as-gateway-to-community
Town of Normal Roof Assessment,"Town of Normal, Illinois","Normal, IL","Asset Management, Building Enclosure Commissioning (BECx)",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/NormalRoof1.jpg?h=12bd73b8&itok=d32N9ztc,https://www.f-w.com/projects/roofing-assessments-for-normal
Hammond-Henry Hospital Emergency Department Renovation,Hammond-Henry Hospital,"Geneseo, IL","Architecture, Electrical, Fire Protection, Interior Design, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/0xSTdudg_jpeg.jpg?h=1dd3cf61&itok=7YhAPk9y,https://www.f-w.com/projects/rural-hammond-henry-hospital-renovates-emergency-department-and-laboratory
San Antonio Zoo Gorilla Exhibit Commissioning,San Antonio Zoo,"San Antonio, TX",Commissioning (Cx),Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/rendering-found-online-larger.png?h=ddefb8b8&itok=ydLqjwze,https://www.f-w.com/projects/san-antonio-zoo-gorilla-exhibit-commissioning
SIU School of Medicine Main Entry and Conference Renovation / Event Venue,Southern Illinois University Springfield School of Medicine,"Springfield, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SIU%20Springfield%20-%20Lobby%20Renovation%20%282%29.JPG?h=ad0ea2b6&itok=Ya-AXFzP,https://www.f-w.com/projects/school-of-medicine-renovation
UCLA Wasserman Building,,"Westwood, CA",Commissioning (Cx),"Healthcare, Higher Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_4765_1.JPG?h=a64059f6&itok=a1Bbt3Pv,https://www.f-w.com/projects/seamless-solution-for-two-owners
Rock Creek Curling Club,Rock Creek Curling,"Lafayette, CO","Architecture, Land Development, Surveying",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/RCCS_Exterior_Staver_001.JPG?h=50e73690&itok=f1zfmK69,https://www.f-w.com/projects/second-curling-facility-for-front-range
Various Services for BNWRD,Bloomington and Normal Water Reclamation District,"Bloomington, IL","Architecture, Electrical, Engineering, Mechanical, Municipal, Plumbing, Structural, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SE%20plant-close%20up%20300%20dpi.jpg?h=211d9779&itok=e2oiIQU2,https://www.f-w.com/projects/serving-bnwrd-for-over-100-years
Various Services for the Village of Metamora,Village of Metamora,"Metamora, IL","Engineering, Municipal, Transportation, Wastewater, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Metamora%20Town%20Square_0.jpg?h=f131b606&itok=k-u7a5cz,https://www.f-w.com/projects/serving-the-village-of-metamora-since-1959
Fulton Plaza,AIA Peoria Design Competition,"Peoria, IL","Architecture, Interior Design, Land Development, Landscape Architecture",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Batman%20View_0.png?itok=eqROXqc_,https://www.f-w.com/projects/shared-space-for-pedestrians-cyclists-and-vehicles
Panasonic’s Enterprise Solutions,"Westfield Company, Inc.","Denver, CO","Architecture, Interior Design, Landscape Architecture, Structural","Commercial, Industrial",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Panasonic-11_0.jpg?h=f79fa301&itok=S3gSLiO7,https://www.f-w.com/projects/showcase-for-technology-and-implementation
Lucky's Market,Novus Development Company,"St. Louis, MO","Land Development, Surveying","Commercial, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3909.JPG?itok=mZU9sqqL,https://www.f-w.com/projects/site-layout-for-luckys-market
Banner Elementary School Addition,Dunlap Community Unit School District No. 323,"Dunlap, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural, Surveying",K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0001.jpg?h=fee4874d&itok=14YC2Amw,https://www.f-w.com/projects/six-classroom-addition-at-banner-elementary-school
Imboden Creek Lodge Memory Care Unit,"Living Centers, Inc.","Decatur, IL","Architecture, Electrical, Mechanical, Plumbing, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Color-1_-web.jpg?h=c5ace6e9&itok=nrTgY82G,https://www.f-w.com/projects/skilled-care-unit-for-residents-suffering-from-dementia
Good Samaritan,The Good Samaritan Group,"Pontiac, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20160829_145721_0.jpg?h=4521fff0&itok=wF1Ug_MY,https://www.f-w.com/projects/skilled-nursing-facility-replaces-dated-complex
Hickory Point Bank Micro-Branch,Hickory Point Bank,"Decatur, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/HBP_ext_01.jpg?h=9c172823&itok=AtLsGvZl,https://www.f-w.com/projects/small-scale-banking-with-large-scale-design-impact
Retail Strategies,City of Centennial,"Centennial , CO","Architecture, Landscape Architecture",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Axon%201.jpg?h=eed66815&itok=elWYxaqo,https://www.f-w.com/projects/solutions-for-under-performing-assets
Interceptor Sewer Study and Design,Boxelder Sanitation District,"Fort Collins, CO",Municipal,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_6595.JPG?h=5f62bdfc&itok=1Mk7xnj9,https://www.f-w.com/projects/solved-interceptor-sewer-and-infiltration-issues
Children's Hospital Colorado Colorado Springs,Children's Hospital Colorado,"Colorado Springs, CO",Commissioning (Cx),Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0530.JPG?itok=RoO0JNOo,https://www.f-w.com/projects/southern-colorados-first-childrens-hospital
Southern Illinois University Edwardsville Health Sciences Building,Illinois Capital Development Board & SIUE,"Edwardsville, IL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,,https://www.f-w.com/projects/southern-illinois-university-edwardsville-health-sciences-building
Southern Illinois University School of Medicine Administrative Offices,SIU Springfield School of Medicine,"Springfield, IL","Architecture, Interior Design",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SIU_Ext_01%28draft%29.jpg?h=33ae9b3e&itok=zP-idu8n,https://www.f-w.com/projects/southern-illinois-university-school-of-medicine-administrative-offices
Southwestern Illinois College Manufacturing Training Academy,Southwestern Illinois College,"Belleville, IL","Architecture, Electrical, Engineering, Fire Protection, Landscape Architecture, Mechanical, Plumbing",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SWIC%20AMA_Exterior_04.jpg?h=502e75fa&itok=qPnqaiVe,https://www.f-w.com/projects/southwestern-illinois-college-manufacturing-training-academy
Lowry Eating Recovery Clinic,Westside Investment Partners,"Denver, CO","Architecture, Landscape Architecture",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ERC8.jpg?h=23ef4099&itok=4f4wKrQ7,https://www.f-w.com/projects/specialized-recovery-center
Springfield Clinic Medical Office Building Addition and Interior Renovation,Springfield Clinic,"Springfield, IL","Architecture, Interior Design",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Spfld_Clinic_4Story_4thfloor_03_a_0.jpeg?h=9855f42d&itok=hF3rr4Vj,https://www.f-w.com/projects/springfield-clinic-medical-office-building-addition-and-interior-renovation
Springfield Clinic Pediatrics,Springfield Clinic,"Springfield, IL",Architecture,Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Springfield_Clinic_Pediatrics_Ext_01_0.jpg?h=1d5c0c02&itok=S7QIvYmB,https://www.f-w.com/projects/springfield-clinic-pediatrics
Springfield Clinic Peoria Surgery Center,Springfield Clinic,"Peoria, IL","Architecture, Interior Design, Landscape Architecture, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Springfield_Clinic_Recovery_Int_01.jpeg?h=9855f42d&itok=zWGq8w4r,https://www.f-w.com/projects/springfield-clinic-peoria-surgery-center
Phinney Branch Bank Stabilization,City of Champaign,"Champagin, IL",Stormwater Management,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Phinney%20AFTER.jpg?h=71976bb4&itok=9y3Qam4W,https://www.f-w.com/projects/stable-streambank-protects-existing-infrastructure
Cancer Research Center,University of Illinois College of Medicine at Peoria,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","Healthcare, Higher Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/working%202colored_0.jpg?h=a239d826&itok=lNubVmph,https://www.f-w.com/projects/state-of-the-art-cancer-research-facility
Emerson High School Storm Shelter Peer Review,Frisco Independent School District,"Frisco, TX","Architecture, Electrical, Mechanical, Structural","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Frisco%20HS%2311%20Emerson%201.JPG?itok=0rLQzQk8,https://www.f-w.com/projects/storm-shelter-review-protect-wall-penetrations
Savoy Stormwater Master Plan,Village of Savoy,"Savoy, IL",Planning,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Savoy%20Stormwater%20Master%20Plan%20V1.jpg?h=963d9fc3&itok=Z2XBje_4,https://www.f-w.com/projects/stormwater-master-plan-prioritizes-improvements
North Boneyard Creek Improvements,City of Champaign,"Champaign, IL","Municipal, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/149_edited.png?h=d5895ce4&itok=BrGK6glE,https://www.f-w.com/projects/stormwater-project-aims-to-protect-city
Boneyard Creek Improvements - Scott Park,City of Champaign,"Champaign, IL","Electrical, Engineering, Municipal, Transportation, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/I_WRM_Stormwater_BoneyardCreek_2ndStreetDetention_Champaign_IL_0191_0.jpg?h=34515be3&itok=scLsc4nB,https://www.f-w.com/projects/stormwater-project-revitalizes-campustown-park
Urbana Boneyard Creek Improvements,City of Urbana,"Urbana, IL","Electrical, Engineering, Municipal, Stormwater Management","Municipal, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0882_0.JPG?h=94b28deb&itok=w9o3Z8IU,https://www.f-w.com/projects/stormwater-project-transforms-downtown
Town of Frederick - Facilities Master Plan,Town of Frederick,"Frederick, CO","Architecture, Planning",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Town-of-Frederick-Google-Map-Isometric-1.jpg?h=e5abde3f&itok=gWijNRHe,https://www.f-w.com/projects/strategic-master-plan-to-modernize-public-services
Facilities Strategic Plan,"City of Boulder, Parks and Recreation Department","Boulder, CO",Asset Management,Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/City%20of%20Boulder%20Assessments-North%20Rec%20Ctr%20Mechanical.jpg?h=19f14c2c&itok=853KHcxn,https://www.f-w.com/projects/strategic-plan-informed-by-facility-assessments
First Street Reconstruction,City of Champaign and University of Illinois at Urbana-Champaign,"Champagin, IL","Electrical, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/1st%20Street%20-%203.jpg?h=46d50b5b&itok=o0X_7VQ4,https://www.f-w.com/projects/street-improvements-for-cooperating-agencies
Illinois Wesleyan University Beecher Street Promenade,Illinois Wesleyan University,"Bloomington, IL","Electrical, Land Development, Landscape Architecture, Structural, Surveying",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_6681.JPG?itok=L05_E9cK,https://www.f-w.com/projects/street-transforms-into-useful-pedestrian-space
Mahomet Downtown Streetscape,Village of Mahomet,"Mahomet, IL","Electrical, Landscape Architecture, Planning",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Mahomet%20Downtown%20Streetscape3.jpg?h=963d9fc3&itok=42TWVSl8,https://www.f-w.com/projects/streetscape-improvements-transform-rural-downtown
Warehouse District Streetscape,City of Peoria,"Peoria, IL","Architecture, Electrical, Land Development, Landscape Architecture, Surveying, Transportation","Historic Preservation, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0053_0.JPG?h=fee4874d&itok=MsXf8oPI,https://www.f-w.com/projects/streetscapes-reimagined-throughout-historic-district
A. Lincoln Commons,Lincoln Land Community College,"Springfield, IL","Architecture, Interior Design",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0421%20edit.jpg?h=8a4c18ef&itok=LEoQDq8g,https://www.f-w.com/projects/student-commons-links-buildings-and-collaboration-spaces
Methodist College Relocation,Unity Point Health Methodist College,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Plumbing, Structural, Surveying, Wastewater",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Entrance%20Corridor.jpg?h=62a8e301&itok=Gvl5UxvS,https://www.f-w.com/projects/student-inspired-design
The Overlook Subdivision,Journey Homes,"Severance, CO","Engineering, Surveying",,,https://www.f-w.com/projects/subdivision-kickstarted-by-engineering-surveying
Village at CornerStar,Alberta Development Partners,"Aurora, CO",Architecture,Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Cornerstar%202.jpg?h=12bd73b8&itok=rprkgGsl,https://www.f-w.com/projects/suburban-town-center-retail
"Sunny Hill Skilled Rehab Master Plan, Design, and Phased Renovations",Sunny Hill Nursing Home,"Will County, IL","Architecture, Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/P3270029_0.JPG?h=926d89e9&itok=dG9jpa3p,https://www.f-w.com/projects/sunny-hill-undergoes-major-renovation
Ralston Pump Station and Pipeline Survey and SUE Services,"Stantec Consulting Services, Inc.","Arvada, CO","Engineering, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/yale%20and%20xanadu%203-web.jpg?h=961c61fd&itok=Tr8dFw2c,https://www.f-w.com/projects/survey-and-sue-optimize-pipe-alignment
Red Rocks Amphitheatre Seating Area Subsidence Survey,Alfred Benesch & Company,"Morrison, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_8601.JPG?h=5f62bdfc&itok=aNC9HiYS,https://www.f-w.com/projects/survey-services-for-colorado-landmark
Prairie Waters Project,,"aurora, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/19466409_10154656324022036_6769344994111727055_o_0.jpg?h=634d96d0&itok=2X73E9MZ,https://www.f-w.com/projects/survey-support-for-35-mile-water-conveyance-system
E-470 Widening from Quincy Avenue to Interstate 70,Felsburg Holt & Ullevig (FHU) and the E-470 Highway Authority,"Arapahoe County, CO","Surveying, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20190121_124034%20cropped.jpg?h=9a835fe5&itok=4kHRqNUL,https://www.f-w.com/projects/survey-support-for-major-tollway
Arnold Avenue Bridge Subsurface Utility Engineering (SUE),Alfred Benesch & Company,"El Paso County, CO","Engineering, Municipal, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0119%20cropped.jpg?h=8c4faded&itok=TOMpBTDv,https://www.f-w.com/projects/survey-team-supports-prime-for-sue
US 550 to US 160 Interchange,"Colorado Department of Transportation, Regio 5","Durango, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/us%20550%20to%20us%20160%20interchange%201.jpg?h=4313e0e5&itok=YYw1YqYS,https://www.f-w.com/projects/surveying-services-for-durango-interchange
Colorado State University-Pueblo,,"Pueblo, CO",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_9728.JPG?h=5f62bdfc&itok=s56Rnh9c,https://www.f-w.com/projects/sustainability-focused-commissioning-services
Sycamore Park District Recreation Campus & Community Center,Sycamore Park District,"Sycamore , IL","Architecture, Landscape Architecture",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_9382%20large_0.jpg?h=bfa41935&itok=CszOAl86,https://www.f-w.com/projects/sycamore-embarks-on-a-new-era-of-recreation
South Residence Hall Complex,Sam Houston State University,"Huntsville, TX",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3151.JPG?h=71976bb4&itok=e9_DZptn,https://www.f-w.com/projects/system-integration-through-mep-commissioning
Fred Pirkle Technology Center TAB Services,Sam Houston State University,"Huntsville, TX","Commissioning (Cx), Testing, Adjusting, and Balancing (TAB)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3172.JPG?h=71976bb4&itok=VWdc4cbj,https://www.f-w.com/projects/tab-services-for-fred-pirkle-technology-center
Tarrant County College Southeast Cooling Tower Replacement,Tarrant County College District,"Arlington, TX",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/TCCD%20SE%20Campus%20Cooling%20Tower%20IMG_7519-larger.png?h=feba0e1d&itok=KPki8Ddl,https://www.f-w.com/projects/tarrant-county-college-southeast-cooling-tower-replacement
Tarrant County College Trinity River Renovations for Staff Relocations,Tarrant County College District,"Fort Worth, TX",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/TCCD%20Staff%20Relocation%20-%20Trinity%20River%20Campus%20-%20larger_0.png?h=34515be3&itok=kTV56PhY,https://www.f-w.com/projects/tarrant-county-college-trinity-river-renovations-for-staff-relocations
The CAVE - The Center for Academic and Vocational Excellence,,"Bellevill, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural","Commercial, Higher Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/TheCave_0355%20EDIT.jpg?h=9a96d95d&itok=RuBKYRvK,https://www.f-w.com/projects/the-cave-the-center-for-academic-and-vocational-excellence
Denver Curling Center,Denver Curling Center,"Golden, CO",Architecture,Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Denver%20Curling%20Club-2.jpg?h=9cc1420a&itok=ngv5w8lk,https://www.f-w.com/projects/those-who-can-throw-stones
Heyl Royster Office Renovation,Heyl Royster,"Peoria, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/8M1A6328%20Panorama_0.jpg?h=cc982270&itok=IX7-2KPQ,https://www.f-w.com/projects/three-floor-office-building-renovation
Top Crop Wind Farm Site and O&M Building,Horizon Wind Energy,"Livingston, LaSalle, & Grundy Counties, IL","Architecture, Electrical, Engineering, Mechanical, Plumbing, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_4835.jpg?h=a5eb5da0&itok=0F4dywjL,https://www.f-w.com/projects/top-crop-wind-farm-in-livingston-lasalle-grundy-counties-illinois
South Enoch Road Improvements,Schriever Air Force Base,"Colorado Springs, CO","Municipal, Transportation",DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/photo-1_0.JPG?h=a5eb5da0&itok=QyIB4bk-,https://www.f-w.com/projects/traffic-flow-improved-along-main-access-corridor
Jump Trading Simulation and Conference Education Center,OSF Healthcare,"Peoria, IL",Commissioning (Cx),Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0001.JPG?itok=uqiAhtDc,https://www.f-w.com/projects/training-facility-for-healthcare
Foothills Mall Redevelopment,"Alberta Development Partners, LLC","Fort Collins, CO","Architecture, Commissioning (Cx), Surveying",Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/foothills%202.jpg?h=12bd73b8&itok=0qXEtHq-,https://www.f-w.com/projects/transformative-renaissance-on-the-front-range
Mountaineer Bowl Events Complex at Western Colorado University,Western Colorado University,"Gunnison, CO","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Ready%20for%20website.png?h=12bd73b8&itok=yzoovu0d,https://www.f-w.com/projects/transforming-the-worlds-highest-elevation-college-football-stadium
Wastewater Treatment Plant Expansion,"Village of Mahomet, Illinois","Mahomet, IL","Electrical, Mechanical, Plumbing, Structural, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Mahomet1.jpg?h=12bd73b8&itok=Q76xv-Yg,https://www.f-w.com/projects/treatment-plant-expansion-supports-growth
Twin groves Wind Farm site and O&M Building,Horizon Wind Energy,"McLean County, IL","Architecture, Electrical, Engineering, Mechanical, Plumbing, Structural, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/windfarm%20006.jpg?h=d668167d&itok=ZC5ewfuO,https://www.f-w.com/projects/twin-groves-wind-farm-mclean-county-illinois
Survey for Colorado Highway 14 Improvements,Colorado Department of Transportaion,"Rustic, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0989-1.jpg?h=efc7f45d&itok=roGPzZ9T,https://www.f-w.com/projects/uavs-expedite-land-surveying-for-roadway
Ultrapure Water Distribution Systems,Confidential Client,,Process Piping,Advanced Manufacturing & Technology,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/AdobeStock_388081756.jpeg?h=71976bb4&itok=3aofs8gx,https://www.f-w.com/projects/ultrapure-water-distribution-systems
Wisconsin Avenue Business Corridor Plan,City of Peoria,"Peoria, IL",Landscape Architecture,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WI%20Ave%20Mtg%20Photo.JPG?h=43aaa6c7&itok=r0uR0obZ,https://www.f-w.com/projects/unique-plan-revitalizes-business-corridor
University of Georgia Ecology Building,University of Georgia,"Athens, GA",Retro-Commissioning (RCx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/100_0310.JPG?h=94b28deb&itok=duPNhKKi,https://www.f-w.com/projects/university-of-georgia-ecology-building-retro-commissioning
Demirijian Indoor Golf Facility Addition,University of Illinois at Urbana-Champaign,"Champaign, IL","Architecture, Electrical, Mechanical, Plumbing","Higher Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1770.JPG?h=71976bb4&itok=MfMQ0K7h,https://www.f-w.com/projects/university-of-illinois-showcases-new-indoor-golf-facility
Estates at Acqualina,TG Development LLC,"Sunny Isles, FL",Commissioning (Cx),Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/the-estates-at-acqualina-larger.png?h=d39b8d4e&itok=7Bjp4y9k,https://www.f-w.com/projects/unparalleled-luxury-for-residents-at-the-estates-at-acqualina
JUSTIN KIMBALL HIGH SCHOOL STORM SHELTER PEER REVIEW,Dallas Independent School District,"Dallas, TX",,"K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Kimball%20HS%20G1%20edited%203.jpg?h=9589c0e9&itok=zU0oHzPn,https://www.f-w.com/projects/unusual-storm-shelter-solution-meets-code
Southwest Plaza Mall Redevelopment,General Growth Properties,"Littleton, CO",Land Development,Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/142.JPG?h=94b28deb&itok=0rhIOLtE,https://www.f-w.com/projects/update-incorporates-entries-and-parking
Florence South Water Treatment Plant Improvements,City of Florence,"Florence, CO","Electrical, Mechanical, Municipal, Structural, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Florence%20WTP%20Construction%201%20edited-1.jpg?h=dacb724d&itok=aBgFPg5E,https://www.f-w.com/projects/upgrades-improve-quality-capacity-and-taste
Arena and Theater Renovations,Peoria Civic Center,"Peoria, IL","Architecture, Commissioning (Cx), Electrical, Interior Design, Mechanical, Plumbing",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0101.jpg?h=fee4874d&itok=u2Ln5Ir_,https://www.f-w.com/projects/upgrades-to-civic-center-keeps-things-rockin
Twenty Ninth Street Mall,Westcor Partners,"Boulder, CO",Architecture,Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/sem-4.jpg?h=cf3e9931&itok=voeBEUA1,https://www.f-w.com/projects/urban-shopping-sophistication-for-boulder
Xanadu and Yale Subsurface Utility Engineering,HDR,"Aurora, CO","Engineering, Municipal, Subsurface Utility Engineering (SUE), Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20190116_083525.jpg?h=dab36bcc&itok=R1C7JTyk,https://www.f-w.com/projects/utility-mapping-allows-for-safe-construction
Quincy Medical Group Medical Office Building and Surgery Center,Quincy Medical Group,"Quincy, IL",Architecture,Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_4493.jpg?h=8e24c5e4&itok=FUVGnozX,https://www.f-w.com/projects/vacated-mall-space-gets-new-use-as-medical-officesurgery-center
UPW Upgrades,Confidential,,"Electrical, Mechanical, Process Piping, Structural",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UPW%202.JPG?h=0d054e74&itok=zzY-jf9z,https://www.f-w.com/projects/value-add-solutions-eliminated-parallel-system
Veterans Affairs Mental Health Clinic and Domiciliary Retro-Commissioning,Vali Cooper International LLC,"West Palm Beach, FL",Retro-Commissioning (RCx),Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WP-VA-Domiciliary-Larger.png?h=9853a32c&itok=6oe8JQaf,https://www.f-w.com/projects/veterans-affairs-mental-health-clinic-and-domiciliary-retro-commissioning
Veterans Memorial Tollway (I-355) Widening,Illinois State Toll Highway Authority,"Woodridge, IL","Structural, Surveying, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Untitled-1_0.jpg?h=12bd73b8&itok=Z24ZaORp,https://www.f-w.com/projects/veterans-memorial-tollway-i-355-widened
Memorial Health Child Care Center,Memorial Health,"Springfield, IL","Architecture, Interior Design","Healthcare, K-12 Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Memorial_Child_Care_Ext_01.jpeg?h=3597cce6&itok=iJM2ZjCh,https://www.f-w.com/projects/vibrant-child-care-facility-provides-spaces-for-all-ages
